user_id,interaction_date,age,gender,city,user_type,device_type,internet_quality,sessions_per_week,avg_session_minutes,completed_activities,pending_activities,support_tickets,response_time_hours,platform_errors,training_received,support_channel,platform_module,perceived_usability,recommendation_score,satisfaction_level,satisfied
USR00386,2025-04-26,24,Femenino,Ibarra,Estudiante,Computador de escritorio,Media,6,34.9,22,5,0,1.7,2,Sí,Chat,Pagos,4.3,6,Baja,0
USR01436,2025-11-28,23,Masculino,Ambato,Estudiante,Laptop,Alta,2,41.2,9,11,0,2.2,2,No,Autoservicio,Evaluaciones,3.5,4,Media,0
USR00204,2025-05-14,33,Masculino,Guayaquil,Estudiante,Laptop,Media,5,55.6,12,6,0,2.9,1,Sí,Autoservicio,Biblioteca digital,4,8,Media,0
USR01396,2025-06-24,27,Masculino,Manta,Estudiante,Móvil,Media,4,30.2,16,8,2,6.9,2,Sí,Teléfono,Evaluaciones,3.2,5,Media,0
USR01229,2025-04-28,20,Masculino,Quito,Estudiante,Móvil,Media,8,18.7,13,5,3,5.2,3,No,Autoservicio,Aula virtual,2.6,2,Baja,0
USR00776,2026-05-03,23,Femenino,Quito,Estudiante,Móvil,Alta,5,29.9,4,6,0,4.1,4,No,Chat,Pagos,2.6,5,Baja,0
USR00176,2025-09-17,22,Femenino,Guayaquil,Estudiante,Móvil,Alta,4,32.4,12,3,3,8.7,2,Sí,Chat,Biblioteca digital,4.7,9,Alta,1
USR01123,2025-06-07,33,Femenino,Ibarra,Docente,Computador de escritorio,Alta,4,8.2,10,7,0,10.2,2,No,Autoservicio,Inscripciones,3.1,5,Baja,0
USR00476,2025-04-01,34,Femenino,Quito,Estudiante,Laptop,Media,5,58.2,22,11,1,23.2,5,No,Teléfono,Evaluaciones,1.8,4,Baja,0
USR01177,2025-08-04,26,Femenino,Quito,Estudiante,Móvil,Alta,7,54.5,18,1,0,3.9,2,Sí,Teléfono,Inscripciones,5,8,Alta,1
USR00127,2025-06-13,41,Femenino,Loja,Docente,Laptop,Alta,9,88.4,16,6,2,3,0,Sí,Autoservicio,Evaluaciones,5,8,Alta,1
USR01282,2026-06-19,26,Masculino,Quito,Administrativo,Tablet,Media,10,55.1,18,11,0,0.9,0,No,Chat,Pagos,1.9,4,Media,0
USR00094,2025-12-29,29,Femenino,Guayaquil,Estudiante,Laptop,Media,7,24,21,5,2,5.4,2,No,Chat,Inscripciones,2.9,4,Baja,0
USR00884,2025-10-19,27,Masculino,Quito,Estudiante,Móvil,Media,6,50.4,26,5,0,4,5,Sí,Autoservicio,Pagos,4,8,Media,0
